LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ARG,EXCH,TOT,NATUSD,A,2013,5.459353,
ARG,EXCH,TOT,NATUSD,A,2014,8.075276,
ARG,EXCH,TOT,NATUSD,A,2015,9.233186,
ARG,EXCH,TOT,NATUSD,A,2016,14.758175,
ARG,EXCH,TOT,NATUSD,A,2017,16.562707,
CRI,EXCH,TOT,NATUSD,A,2008,526.235513,
CRI,EXCH,TOT,NATUSD,A,2009,573.287957,
CRI,EXCH,TOT,NATUSD,A,2010,525.829201,
CRI,EXCH,TOT,NATUSD,A,2011,505.66424,
CRI,EXCH,TOT,NATUSD,A,2012,502.901462,
CRI,EXCH,TOT,NATUSD,A,2013,499.766833,
CRI,EXCH,TOT,NATUSD,A,2014,538.3172,
CRI,EXCH,TOT,NATUSD,A,2015,534.56577,
CRI,EXCH,TOT,NATUSD,A,2016,544.739367,
CRI,EXCH,TOT,NATUSD,A,2017,567.51309,
BGR,EXCH,TOT,NATUSD,A,2008,1.337117,
BGR,EXCH,TOT,NATUSD,A,2009,1.406692,
BGR,EXCH,TOT,NATUSD,A,2010,1.477392,
BGR,EXCH,TOT,NATUSD,A,2011,1.406458,
BGR,EXCH,TOT,NATUSD,A,2012,1.52205,
BGR,EXCH,TOT,NATUSD,A,2013,1.473567,
BGR,EXCH,TOT,NATUSD,A,2014,1.474183,
BGR,EXCH,TOT,NATUSD,A,2015,1.7644,
BGR,EXCH,TOT,NATUSD,A,2016,1.768042,
BGR,EXCH,TOT,NATUSD,A,2017,1.735458,
HRV,EXCH,TOT,NATUSD,A,2008,4.93504,
HRV,EXCH,TOT,NATUSD,A,2009,5.283946,
HRV,EXCH,TOT,NATUSD,A,2010,5.498011,
HRV,EXCH,TOT,NATUSD,A,2011,5.34387,
HRV,EXCH,TOT,NATUSD,A,2012,5.850292,
HRV,EXCH,TOT,NATUSD,A,2013,5.70488,
HRV,EXCH,TOT,NATUSD,A,2014,5.748165,
HRV,EXCH,TOT,NATUSD,A,2015,6.858304,
HRV,EXCH,TOT,NATUSD,A,2016,6.80599,
HRV,EXCH,TOT,NATUSD,A,2017,6.623831,
CYP,EXCH,TOT,NATUSD,A,2008,0.682675,
CYP,EXCH,TOT,NATUSD,A,2009,0.719843,
CYP,EXCH,TOT,NATUSD,A,2010,0.755045,
CYP,EXCH,TOT,NATUSD,A,2011,0.719355,
CYP,EXCH,TOT,NATUSD,A,2012,0.778294,
CYP,EXCH,TOT,NATUSD,A,2013,0.753159,
CYP,EXCH,TOT,NATUSD,A,2014,0.753731,
CYP,EXCH,TOT,NATUSD,A,2015,0.901659,
CYP,EXCH,TOT,NATUSD,A,2016,0.904035,
CYP,EXCH,TOT,NATUSD,A,2017,0.887397,
MLT,EXCH,TOT,NATUSD,A,2008,0.682675,
MLT,EXCH,TOT,NATUSD,A,2009,0.719843,
MLT,EXCH,TOT,NATUSD,A,2010,0.755045,
MLT,EXCH,TOT,NATUSD,A,2011,0.719355,
MLT,EXCH,TOT,NATUSD,A,2012,0.778294,
MLT,EXCH,TOT,NATUSD,A,2013,0.753159,
MLT,EXCH,TOT,NATUSD,A,2014,0.753731,
MLT,EXCH,TOT,NATUSD,A,2015,0.901659,
MLT,EXCH,TOT,NATUSD,A,2016,0.904035,
MLT,EXCH,TOT,NATUSD,A,2017,0.887397,
PER,EXCH,TOT,NATUSD,A,2008,2.924408,
PER,EXCH,TOT,NATUSD,A,2009,3.011508,
PER,EXCH,TOT,NATUSD,A,2010,2.825125,
PER,EXCH,TOT,NATUSD,A,2011,2.7541,
PER,EXCH,TOT,NATUSD,A,2012,2.637586,
PER,EXCH,TOT,NATUSD,A,2013,2.701899,
PER,EXCH,TOT,NATUSD,A,2014,2.839044,
PER,EXCH,TOT,NATUSD,A,2015,3.184439,
PER,EXCH,TOT,NATUSD,A,2016,3.375062,
PER,EXCH,TOT,NATUSD,A,2017,3.260488,
ROU,EXCH,TOT,NATUSD,A,2008,2.518858,
ROU,EXCH,TOT,NATUSD,A,2009,3.049325,
ROU,EXCH,TOT,NATUSD,A,2010,3.1779,
ROU,EXCH,TOT,NATUSD,A,2011,3.048608,
ROU,EXCH,TOT,NATUSD,A,2012,3.4682,
ROU,EXCH,TOT,NATUSD,A,2013,3.327917,
ROU,EXCH,TOT,NATUSD,A,2014,3.349175,
ROU,EXCH,TOT,NATUSD,A,2015,4.005667,
ROU,EXCH,TOT,NATUSD,A,2016,4.059183,
ROU,EXCH,TOT,NATUSD,A,2017,4.052492,
MKD,EXCH,TOT,NATUSD,A,2008,41.867683,
MKD,EXCH,TOT,NATUSD,A,2009,44.100575,
MKD,EXCH,TOT,NATUSD,A,2010,46.485392,
MKD,EXCH,TOT,NATUSD,A,2011,44.230825,
MKD,EXCH,TOT,NATUSD,A,2012,47.89025,
MKD,EXCH,TOT,NATUSD,A,2013,46.395342,
MKD,EXCH,TOT,NATUSD,A,2014,46.437131,
MKD,EXCH,TOT,NATUSD,A,2015,55.537075,
MKD,EXCH,TOT,NATUSD,A,2016,55.731725,
MKD,EXCH,TOT,NATUSD,A,2017,54.665458,
